Instance,Ele07,Bur08,Pil10,Dem12,Lei14,Lei18,FastTA100
car92,-4.40,-3.92,-4.28,-3.86,-3.77,-3.72,-3.75
car91,-5.20,-4.68,-5.05,-4.64,-4.45,-4.39,-4.44
ear83,-38.30,-32.91,-36.49,-32.69,-32.69,-32.61,-33.09
hec92,-11.40,-10.22,-11.69,-10.06,-10.06,-10.05,-10.18
kfu93,-14.90,-13.02,-14.42,-13.24,-13.00,-12.83,-12.93
lse91,-11.70,-10.14,-10.95,-10.21,-9.93,-9.81,-9.98
pur93,-4.60,-4.71,-4.70,-5.75,-4.17,-4.18,-4.17
rye92,-10.00,-8.06,-9.41,-8.20,-8.06,-7.93,-8.01
sta83,-157.50,-157.05,-158.07,-157.05,-157.03,-157.03,-157.06
tre92,-8.70,-7.89,-8.45,-7.79,-7.80,-7.70,-7.78
uta92,-3.50,-3.26,-3.39,-3.17,-3.15,-3.04,-3.07
ute92,-27.00,-24.82,-27.45,-24.88,-24.81,-24.83,-24.91
yor83,-40.40,-35.16,-39.74,-34.83,-34.73,-34.63,-35.23
